type,edge_num,rec,thick,add,num_of_elements,mean,sd
m,3,a,0,7,29,64.1717798688616,38.1173156286368
d,3,a,5,0,29,3.18370064562053,1.72252824965861
m,3,a,5,0,29,61.9086791881011,24.8578657558331
d,3,a,5,1,29,3.82327865085348,1.74712926199579
m,3,a,5,1,29,52.0833730437809,17.7331999770937
d,3,a,5,2,29,3.89996147529885,1.54261313758641
m,3,a,5,2,29,50.2992920661694,31.8269654028108
d,3,a,5,3,29,4.13330440569464,1.79877264806571
m,3,a,5,3,29,52.0520443431762,22.0919480942516
d,3,a,5,5,29,3.71994983704483,1.52468855896487
m,3,a,5,5,29,53.2345083765031,26.3025879162739
d,3,a,5,7,29,3.76096880131954,1.59962559945687
m,3,a,5,7,29,51.4192007902816,34.0647626319362
d,3,a,8,0,29,3.23121448475304,1.76331047129517
m,3,a,8,0,29,58.9275635978971,27.5716520490107
d,3,a,8,1,29,3.94280234850919,1.8954914938917
m,3,a,8,1,29,51.4760347995148,26.2547729022963
d,3,a,8,2,29,3.85195952274904,1.70115331031728
m,3,a,8,2,29,50.5654227652891,34.2665165651125
d,3,a,8,3,29,3.86824765512414,1.54098739631037
m,3,a,8,3,29,52.2275447206904,30.415490444616
d,3,a,8,5,29,3.82284919427241,1.50420750296115
m,3,a,8,5,29,49.9348310638007,25.1197719141961
d,3,a,8,7,29,4.19803557743908,1.3677801009639
m,3,a,8,7,29,50.6012448581954,39.9506245203525
d,3,f,0,0,29,2.23091510499686,1.82601532086989
m,3,f,0,0,29,170.594795528311,139.052795530046
d,3,f,0,1,28,2.5363869014168,2.07372902687689
m,3,f,0,1,28,109.795315194435,74.1285899262687
d,3,f,0,2,29,2.71092388925015,2.10905935272673
m,3,f,0,2,29,87.5895492371573,61.6011880006699
d,3,f,0,3,29,2.24695141077437,1.48465651106386
m,3,f,0,3,29,97.6078449737367,62.1003852890413
d,3,f,0,5,29,2.46544870114734,1.791065892826
m,3,f,0,5,29,92.0241097633351,59.2005524780363
d,3,f,0,7,29,2.39002515901478,1.83781646582104
m,3,f,0,7,29,89.4987376491679,53.7282624250986
d,3,f,5,0,28,2.60546779503895,1.85683211676134
m,3,f,5,0,28,89.0910600846484,58.4154856598935
d,3,f,5,1,28,2.76259455602691,1.89086125171698
m,3,f,5,1,28,75.997591592257,40.7309217523985
d,3,f,5,2,29,3.10193175677093,1.63100368199333
m,3,f,5,2,29,63.0682552679269,42.2461596836484
d,3,f,5,3,29,3.21406825813079,1.62739481205939
m,3,f,5,3,29,63.5474206888249,36.43160392449
d,3,f,5,5,29,3.31193994815924,1.47269443721418
m,3,f,5,5,29,57.0447099489912,26.3337934608759
d,3,f,5,7,29,3.40030110217225,1.55208913479836
m,3,f,5,7,29,48.7178275465755,18.8622707223069
d,3,f,8,0,29,2.64242102966128,1.40512927082018
m,3,f,8,0,29,76.4352345680687,55.5514667651119
d,3,f,8,1,28,3.30879245731366,2.0786536322252
m,3,f,8,1,28,63.8612523090148,35.0177395127626
d,3,f,8,2,29,3.49710479857377,2.24771646952971
m,3,f,8,2,29,58.5420677259241,41.9553271053691
