pat,thick,add,phase,best,rec,d1,min1,max1,d2,min2,max2,d3,min3,max3,d4,min4,max4,comment
05,0,0,10,1,AIDR,1.2253968254,51,489,1.3507936508,75,354,1.1228571429,8,334,1.6808423913,-908,65,
05,0,1,10,1,AIDR,1.30625,78,412,2.625,45,369,1.53,42,310,1.456,-896,48,
05,0,2,9,1,AIDR,1.9492857143,86,436,2.0944444444,69,369,1.5875,79,284,2.4252777778,-872,19,
05,0,3,9,1,AIDR,1.7727678571,91,382,1.9805555556,76,376,1.4625,88,243,2.5389354067,-846,27,
05,0,5,8,1,AIDR,1.559375,114,351,1.65125,88,354,1.3416666667,70,265,2.0401041667,-805,34,
05,0,7,7,1,AIDR,1.5666666667,110,333,1.775,79,331,1.3542857143,69,276,1.9986666667,-850,41,
05,5,0,10,1,AIDR,1.125,50,454,1.2375,64,371,1.6916666667,48,330,1.3856331169,-858,59,
05,5,1,10,1,AIDR,1.3306547619,81,400,2.0613095238,90,371,1.75,71,322,1.3410980149,-865,46,
05,5,2,9,1,AIDR,2.2444444444,88,428,2.0330357143,69,359,1.71875,88,275,2.2758653846,-853,26,
05,5,3,9,1,AIDR,2.2425,100,396,2.105625,80,367,7.6,98,345,2.5766369048,-844,110,
05,5,5,8,1,AIDR,1.8446428571,102,364,1.76375,91,357,5.41875,82,337,2.2223958333,-852,85,
05,5,7,7,1,AIDR,1.918125,95,354,1.7383333333,85,339,1.8666666667,81,253,2.0800625,-851,88,
05,8,0,10,1,AIDR,1.1909375,56,461,1.285,55,373,2.2229166667,70,328,1.2425287356,-811,57,
05,8,1,10,1,AIDR,1.2569444444,75,385,1.9321428571,86,368,1.85,100,316,1.3243333333,-824,46,
05,8,2,9,1,AIDR,2.2194444444,85,423,1.8416666667,76,349,1.7875,116,274,2.44375,-768,94,
05,8,3,9,1,AIDR,2.153125,98,389,1.9119047619,85,357,1.86875,126,255,2.6333333333,-837,108,
05,8,5,8,1,AIDR,1.8542857143,100,359,1.7657142857,94,349,2.03125,110,271,2.2741758242,-768,112,
05,8,7,7,1,AIDR,1.8447916667,97,344,1.7775,87,332,3.48325,-841,318 ,3.48325,-841,318,copied from Test_FBP_20
05,0,0,10,1,FBP,0.9152380952,18,434,0.8427777778,94,340,0.8609161793,-76,368,1.5753676471,-787,100,
05,0,1,10,1,FBP,0.972492163,43,393,2.2894736842,126,346,1.30859375,54,323,1.1333946078,-823,68,
05,0,2,9,1,FBP,2.3087912088,49,461,2.83095238095238,54,392,1.4583333333,78,294,2.2477272727,-877,35,copied from Test_FBP_30
05,0,3,9,1,FBP,2.3118181818,43,436,2.99791666666667,58,385,1.8588815789,83,296,2.38248626373628,-855,38,copied from Test_FBP_20
05,0,5,8,1,FBP,2.2399305556,97,387,2.90454545454545,62,366,1.3666666667,64,316,2.2092857142857,-871,44,e2 e4 copied from Test_FBP_20
05,0,7,7,1,FBP,2.18035087719298,80,352,3.1038194444,55,360,1.5458333333,76,332,2.09994791666668,-864,55,e1 e4 copied from Test_FBP_30
05,5,0,10,1,FBP,0.7938095238,-5,431,0.9235576923,79,377,0.6003759398,51,295,0.9927826784,-812,70,
05,5,1,10,1,FBP,0.9927350427,57,389,2.3102564103,89,373,1.9725,54,286,1.0189001502,-838,59,
05,5,2,9,1,FBP,1.9132352941,82,434,2.3927083333,53,368,0.5593406593,120,250,2.1933870968,-782,44,
05,5,3,9,1,FBP,2.1598484848,96,402,2.659375,71,376,0.4767361111,126,229,2.3714117647,-858,63,
05,5,5,8,1,FBP,1.7272727273,101,376,2.03625,82,363,2.05,85,251,2.0244612069,-865,53,
05,5,7,7,1,FBP,1.3571428571,97,353,1.6741071429,80,346,1.57625,86,273,1.8571428571,-864,56,
05,8,0,10,1,FBP,0.7213675214,26,436,1.069375,54,389,0.5670588235,76,275,0.9285714286,-813,65,
05,8,1,10,1,FBP,0.9243990385,68,373,2.0355769231,84,368,1.65625,98,280,1.1044354839,-829,58,
05,8,2,9,1,FBP,2.02375,91,418,2.10625,63,352,1.1419642857,118,257,2.1651851852,-770,38,
05,8,3,9,1,FBP,2.0888888889,92,386,2.2805555556,76,360,2.19821428571429,136,241,2.4041149068,-843,52,e3 copied from Test_FBP_20 still not perfect
05,8,5,8,1,FBP,1.7391666667,99,368,2.06,83,355,1.2041666667,122,251,1.9614224138,-771,53,
05,8,7,7,1,FBP,1.6391666667,99,348,1.7377777778,82,336,1.58,120,269,1.7786666667,-782,57,
06,0,0,11,1,AIDR,2.1855769231,96,707,2.31625,122,349,3,64,330,1.3673494983,-856,-23,
06,0,1,11,1,AIDR,6.36,62,612,2.3416666667,197,381,3.6395833333,49,378,1.3660869565,-817,-48,
06,0,2,10,1,AIDR,6.85,57,650,5.2979166667,155,370,3.9466666667,77,365,1.6148809524,-828,-29,
06,0,3,10,1,AIDR,7.3660714286,68,599,6.2333333333,68,343,2.97,81,358,1.6166666667,-839,-26,
06,0,5,9,1,AIDR,5.85,65,585,4.175,65,239,3.10625,75,286,1.7821052632,-764,-16,
06,0,7,8,1,AIDR,4.43,75,595,4.4,75,225,3.1,75,247,2.4339912281,-788,82,
06,5,0,11,1,AIDR,2.5169642857,95,681,2.7733333333,136,370,3.65,58,330,1.788368984,-851,3,
06,5,1,11,1,AIDR,6.23125,60,610,2.6875,210,389,3.7125,46,392,1.7991477273,-797,-23,
06,5,2,10,1,AIDR,6.3651515152,60,633,3.8583333333,156,346,4.2,66,364,2.1703557312,-815,73,
06,5,3,10,1,AIDR,7.116875,67,592,7.5,67,363,4.2,74,396,2.1509469697,-814,77,
06,5,5,9,1,AIDR,5.79,68,572,8.0375,68,302,4.26875,74,317,2.2822368421,-795,71,
06,5,7,8,1,AIDR,4.7533333333,77,580,6.8,77,270,4.425,76,278,2.6754385965,-794,76,
06,8,0,11,1,AIDR,2.694047619,103,667,2.6175,128,359,5.6625,44,386,2.4365384615,-848,68,
06,8,1,11,1,AIDR,6.275,65,615,3.125,202,384,4.1125,63,390,2.6817307692,-873,67,
06,8,2,10,1,AIDR,6.5111111111,66,635,3.5583333333,154,340,4.2666666667,77,359,2.6847953216,-811,76,
06,8,3,10,1,AIDR,7.1114285714,74,591,7.75,74,362,4.48125,81,392,2.6194318182,-809,78,
06,8,5,9,1,AIDR,5.95,73,568,7.9083333333,73,299,4.675,77,319,2.863510101,-837,72,
06,8,7,8,1,AIDR,5.06,82,576,6.6875,82,265,4.7333333333,79,279,3.140625,-832,74,
06,0,0,11,1,FBP,3.21376262626262,47,910,2.2593984962,42,302,1.5638257576,20,311,0.9253292683,-829,48,e1 copied from Test_FBP_20
06,0,1,11,1,FBP,2.8632525083612,46,449,2.9757142857,141,404,1.9517482517,-13,276,1.1924441786,-899,-26,e1 copied from Test_FBP_20
06,0,2,10,1,FBP,3.66547619047619,106,582,1.5666666667,125,290,3.1242857143,29,260,1.3776091082,-845,-13,e1 copied from Test_FBP_20
06,0,3,10,1,FBP,7.17832167832168,37,488,2.05,208,347,1.5348214286,58,248,1.4727339181,-873,-38,e1 copied from Test_FBP_20
06,0,5,9,1,FBP,4.23,135,539,1.6954545455,152,303,4.76875,50,323,1.6198156682,-783,-11,e1 copied from Test_FBP_20
06,0,7,8,1,FBP,3.26363636363637,133,563,1.4954861111,160,285,0.4936507937,44,132,1.8104166667,-815,-40,e1 copied from Test_FBP_20
06,5,0,11,1,FBP,3.42772435897436,102,753,2.886875,114,411,1.3744588745,-9,254,1.4086309524,-877,-27,e1 copied from Test_FBP_20
06,5,1,11,1,FBP,6.59510489510489,52,616,1.6,246,416,4.4715277778,-3,386,1.5350694444,-808,-7,e1 copied from Test_FBP_20
06,5,2,10,1,FBP,6.9648076923077,73,666,1.3677083333,170,283,4.3166666667,33,334,1.5324404762,-824,-9,e1 copied from Test_FBP_20
06,5,3,10,1,FBP,7.47524509803922,77,620,1.478125,264,341,4.10625,52,378,1.5460597826,-835,-10,e1 copied from Test_FBP_20
06,5,5,9,1,FBP,6.2775,120,602,0.4375,237,272,4.03,59,304,1.7342045455,-803,-8,
06,5,7,8,1,FBP,4.83571428571428,77,590,0.4479166667,231,262,4.4266666667,61,276,2.4365277778,-803,90,e1 copied from Test_FBP_20
06,8,0,11,1,FBP,2.17138888888889,116,701,1.7402777778,137,349,4.4464052288,36,336,1.9368421053,-890,14,e1 copied from Test_FBP_20
06,8,1,11,1,FBP,6.42727272727273,59,655,3.3208333333,242,412,5.6479166667,21,430,1.9427083333,-821,-14,e1 copied from Test_FBP_20
06,8,2,10,1,FBP,6.51127819548872,68,670,1.80625,173,279,6.125,54,396,1.8624038462,-823,-16,e1 copied from Test_FBP_20
06,8,3,10,1,FBP,7.41190476190476,80,620,0.4857142857,271,335,5.425,66,428,1.9353479853,-828,-13,e1 copied from Test_FBP_20
06,8,5,9,1,FBP,6.34375,78,597,2.06,239,319,5.36,65,348,2.2256696429,-855,-4,
06,8,7,8,1,FBP,5.36125,89,588,0.675,230,259,5.25,68,300,2.9183333333,-847,84,
07,0,0,7,1,AIDR,0.8478070175,88,458,2.4410714286,79,543,1.9142857143,86,385,0.9836389961,-783,64,
07,0,1,7,1,AIDR,1.3,73,373,2.3173076923,90,502,1.7777777778,65,409,1.1342342342,-801,79,
07,0,2,6,1,AIDR,1.8407692308,101,500,1.9487179487,93,448,2.5666666667,51,407,1.1847962382,-808,89,
